STATE,ST_CASE,VE_TOTAL,PEDS,PERSONS,COUNTY,DAY,MONTH,YEAR,DAY_WEEK,HOUR,MINUTE,NHS,LATITUDE,LONGITUD,MAN_COLL,WEATHER,SCH_BUS,ARR_HOUR,ARR_MIN,CF1,CF2,CF3,FATALS,DRUNK_DR
1,10187,2,2,2,23,15,4,2010,5,9,50,0,32.23379444,-88.34761944,0,1,0,10,26,0,0,0,1,0
1,10188,1,0,8,83,16,4,2010,6,12,50,1,34.80257222,-86.93895556,0,1,0,12,53,0,0,0,1,0
1,10189,1,0,1,77,17,4,2010,7,1,40,0,34.86475,-87.35036944,0,1,0,2,3,0,0,0,1,1
1,10190,1,0,1,77,17,4,2010,7,7,0,0,34.961925,-87.35045,0,1,0,88,88,0,0,0,1,1
1,10191,1,0,1,107,18,4,2010,1,21,20,0,33.46704167,-88.18523889,0,1,0,21,50,0,0,0,1,1
1,10192,2,1,2,113,19,4,2010,2,21,40,1,32.46798056,-85.073625,0,1,0,88,88,0,0,0,1,0
1,10193,1,0,2,53,19,4,2010,2,7,15,0,31.02638611,-86.73146111,0,1,0,8,0,0,0,0,2,0
1,10194,1,1,1,69,22,4,2010,5,23,25,1,31.18496667,-85.4019,0,1,0,23,40,0,0,0,1,1
1,10195,2,0,4,37,22,4,2010,5,16,18,0,33.08831389,-86.28490556,6,1,0,16,41,0,0,0,1,0
1,10196,1,0,1,97,23,4,2010,6,19,0,0,30.43184722,-88.25218611,0,2,0,19,20,0,0,0,1,0
1,10197,2,0,3,127,23,4,2010,6,9,0,0,33.82011111,-87.15377222,6,1,0,9,20,0,0,0,1,0
1,10198,1,0,1,93,23,4,2010,6,16,45,1,33.96101667,-87.67146667,0,1,0,17,10,0,0,0,1,0
1,10199,2,0,3,67,24,4,2010,7,4,0,0,31.41710833,-85.33065556,6,1,0,4,35,0,0,0,1,2
1,10200,1,0,2,55,24,4,2010,7,23,45,0,34.00878056,-86.25674167,0,2,0,0,1,0,0,0,1,1
1,10201,2,0,5,95,25,4,2010,1,16,5,0,34.38071389,-86.41741667,2,1,0,16,17,0,0,0,2,0
1,10202,1,0,2,79,25,4,2010,1,10,30,1,34.64918333,-87.1825,0,1,0,10,34,0,0,0,1,1
1,10203,2,0,2,97,28,4,2010,4,5,45,0,30.53785,-88.18385,6,1,0,5,57,0,0,0,1,0
1,10204,1,0,1,65,1,5,2010,7,16,30,0,32.8013,-87.542175,0,1,0,88,88,0,0,0,1,1
1,10205,1,0,1,89,1,5,2010,7,14,33,0,34.7768,-86.59878611,0,1,0,14,38,0,0,0,1,0
1,10206,2,0,3,127,2,5,2010,1,19,30,0,33.705225,-87.08398889,2,1,0,20,0,0,0,0,1,1
1,10207,1,0,1,11,3,5,2010,2,11,15,0,32.14735556,-85.78020833,0,2,0,11,55,0,0,0,1,0
1,10208,2,0,2,125,3,5,2010,2,7,56,0,33.14598333,-87.52190833,6,1,0,8,1,0,0,0,1,0
1,10209,1,0,1,51,6,5,2010,5,18,50,0,32.60403056,-85.95049167,0,1,0,19,5,0,0,0,1,1
